State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ,Other_Factors,Quarter_num,Year,Fatality_Rate,Injury_Rate,Vehicles_per_Crash,Total_Factors
Abia,30,146,31,37,19,0,0,0,18,Q4,2020,103.3,486.7,1,37
Adamawa,77,234,36,94,57,0,0,0,37,Q4,2020,46.8,303.9,1,94
Akwa Ibom,22,28,7,24,15,0,0,1,8,Q4,2020,31.8,127.3,1,24
Anambra,72,152,20,83,43,1,0,0,39,Q4,2020,27.8,211.1,1,83
Bauchi,154,685,90,140,74,0,0,0,66,Q4,2020,58.4,444.8,1,140
Bayelsa,1,3,0,1,1,0,0,0,0,Q4,2020,0.0,300.0,1,1
Benue,77,177,25,81,81,0,0,0,0,Q4,2020,32.5,229.9,1,81
Borno,25,67,16,18,11,0,0,0,7,Q4,2020,64.0,268.0,1,18
Cross River,33,65,11,39,23,0,0,0,16,Q4,2020,33.3,197.0,1,39
Delta,67,182,36,111,70,0,0,0,41,Q4,2020,53.7,271.6,2,111
Ebonyi,27,82,11,29,9,0,0,0,20,Q4,2020,40.7,303.7,1,29
Edo,55,118,32,102,77,0,0,0,25,Q4,2020,58.2,214.5,2,102
Ekiti,30,71,9,46,23,1,0,0,22,Q4,2020,30.0,236.7,2,46
Enugu,44,116,30,48,10,0,0,0,38,Q4,2020,68.2,263.6,1,48
FCT,312,572,90,480,284,1,0,2,193,Q4,2020,28.8,183.3,2,480
Gombe,70,231,26,84,59,0,0,0,25,Q4,2020,37.1,330.0,1,84
Imo,31,91,15,24,11,0,0,0,13,Q4,2020,48.4,293.5,1,24
Jigawa,92,318,64,177,118,0,0,0,59,Q4,2020,69.6,345.7,2,177
Kaduna,281,1010,224,363,194,0,0,0,169,Q4,2020,79.7,359.4,1,363
Kano,102,499,194,130,90,0,0,2,38,Q4,2020,190.2,489.2,1,130
Katsina,77,277,39,107,80,0,0,0,27,Q4,2020,50.6,359.7,1,107
Kebbi,58,222,56,64,45,0,0,0,19,Q4,2020,96.6,382.8,1,64
Kogi,122,335,55,178,91,1,0,1,85,Q4,2020,45.1,274.6,1,178
Kwara,102,313,60,163,105,0,0,0,58,Q4,2020,58.8,306.9,2,163
Lagos,113,181,21,114,46,1,0,3,64,Q4,2020,18.6,160.2,1,114
Nasarawa,200,513,65,271,114,0,0,0,157,Q4,2020,32.5,256.5,1,271
Niger,110,347,91,126,102,0,0,0,24,Q4,2020,82.7,315.5,1,126
Ogun,279,548,83,377,254,0,0,0,123,Q4,2020,29.7,196.4,1,377
Ondo,114,320,84,155,107,0,0,1,47,Q4,2020,73.7,280.7,1,155
Osun,109,292,52,143,93,0,0,0,50,Q4,2020,47.7,267.9,1,143
Oyo,155,385,68,209,128,0,0,4,77,Q4,2020,43.9,248.4,1,209
Plateau,45,123,17,48,18,2,0,0,28,Q4,2020,37.8,273.3,1,48
Rivers,25,77,6,29,19,0,0,0,10,Q4,2020,24.0,308.0,1,29
Sokoto,32,138,47,60,49,0,0,0,11,Q4,2020,146.9,431.2,2,60
Taraba,59,149,7,92,57,0,0,0,35,Q4,2020,11.9,252.5,2,92
Yobe,56,383,60,53,28,0,0,0,25,Q4,2020,107.1,683.9,1,53
Zamfara,55,252,40,72,40,0,0,0,32,Q4,2020,72.7,458.2,1,72
Abia,44,119,35,36,7,0,0,0,29,Q1,2021,79.5,270.5,1,36
Adamawa,84,251,21,110,60,0,0,0,50,Q1,2021,25.0,298.8,1,110
Akwa Ibom,22,35,12,24,15,0,0,0,9,Q1,2021,54.5,159.1,1,24
Anambra,80,147,9,109,59,0,0,0,50,Q1,2021,11.2,183.8,1,109
Bauchi,131,634,115,153,77,0,0,0,76,Q1,2021,87.8,484.0,1,153
Bayelsa,7,15,0,9,7,0,1,0,1,Q1,2021,0.0,214.3,1,9
Benue,52,123,15,54,46,0,0,0,8,Q1,2021,28.8,236.5,1,54
Borno,31,78,24,46,31,0,0,0,15,Q1,2021,77.4,251.6,1,46
Cross River,25,50,30,31,17,0,0,0,14,Q1,2021,120.0,200.0,1,31
Delta,71,196,51,108,68,0,0,0,40,Q1,2021,71.8,276.1,2,108
Ebonyi,31,121,27,32,13,0,0,0,19,Q1,2021,87.1,390.3,1,32
Edo,56,140,51,89,68,0,0,0,21,Q1,2021,91.1,250.0,2,89
Ekiti,31,101,13,41,29,1,0,0,11,Q1,2021,41.9,325.8,1,41
Enugu,66,222,37,75,3,0,0,0,72,Q1,2021,56.1,336.4,1,75
FCT,278,518,56,400,158,1,0,0,241,Q1,2021,20.1,186.3,1,400
Gombe,72,232,31,82,33,0,0,0,49,Q1,2021,43.1,322.2,1,82
